#AccessRule,user,domain,typeId,permission,principal,permissionList,state,allExceptPrincipal
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PRODUCT_DATA_ENGINGEER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PRODUCT_DECISION_COMMITTEE,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PRODUCT_MANAGER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PRODUCT_QUALITY_ENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PRODUCT_SAFE_ENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PROJECT MANAGER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,PROJECT_ASSISTANT,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,QUALITY_REPRESENTATIVE,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,RELIABILITYENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,STANDARDIZATION_ENGINEER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,STRUCTURAL_DESIGN_ENGINEER,0/2/10/13,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,SUPPLIER_UQALITY_MANAGEMENT,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,SYSTEM_ENGINEER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,TEST_ENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,THERMAL-MANAGEMENT_EMULATE_ENGINEER,0/2/10/13,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,WICKING_ENGINEER,0/2/10/13,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Catia图档,WCTYPE|wt.epm.EPMDocument,+,teamMembers,7,RELEASED,false
#AccessRule,user,domain,typeId,permission,principal,permissionList,state,allExceptPrincipal
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,CATL_EE_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,CATL_HARNESS_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,CATL_MCAD_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,CATL_PROCESS_READER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,CATL_SE_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,CATL_THERMAL_EMULATION_READER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,CERTIFICATION_ENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,DEVELOP_REPRESENT,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,DOCUMENT_CONTROLLER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,EE_SYSTEM_ENGINEER,0/2/10/13,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,HARDWARE_ENGINEER,0/2/10/13,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,MATERIAL_CONTROL,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,PROCUREMENT_REPRESENT,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,PRODUCT_DATA_ENGINGEER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,PRODUCT_DECISION_COMMITTEE,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,PRODUCT_MANAGER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,PRODUCT_QUALITY_ENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,PRODUCT_SAFE_ENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,PROJECT MANAGER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,PROJECT_ASSISTANT,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,QUALITY_REPRESENTATIVE,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,RELIABILITYENGINEER,0/10,RELEASED,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,STANDARDIZATION_ENGINEER,0/10,ALL,false
AccessRule,,[/wt.inf.container.OrgContainer=CATL/wt.pdmlink.PDMLinkProduct=PLM二期测试库]/Default/CATLDefault/Gerber文件,WCTYPE|wt.doc.WTDocument|com.CATLBattery.CATLDocument|com.CATLBattery.gerberDoc,+,STRUCTURAL_DESIGN_ENGINEER,0/2/10/13,ALL,false
