#UserGroup,user,groupName,,userName,DirectoryService
UserGroup,,工艺组,,60001336,
UserGroup,,工艺组,,60007727,
UserGroup,,工艺组,,60007818,
UserGroup,,工艺组,,60007198,
UserGroup,,工艺组,,60010895,
UserGroup,,工艺组,,60011543,
UserGroup,,工艺组,,60010440,
UserGroup,,工艺组,,60004935,
UserGroup,,工艺组,,60008599,
UserGroup,,工艺组,,60011317,
UserGroup,,工艺组,,60000298,
UserGroup,,工艺组,,60000052,
UserGroup,,工艺组,,60001405,
UserGroup,,工艺组,,60010501,
UserGroup,,工艺组,,60000128,
UserGroup,,工艺组,,60004618,
UserGroup,,工艺组,,60011132,
UserGroup,,工艺组,,60002650,
UserGroup,,工艺组,,60000013,
UserGroup,,工艺组,,60010288,
UserGroup,,工艺组,,60000340,
UserGroup,,工艺组,,60006009,
UserGroup,,工艺组,,60000124,
UserGroup,,工艺组,,60007591,
UserGroup,,工艺组,,60001120,
UserGroup,,工艺组,,60004566,
UserGroup,,工艺组,,60000041,
UserGroup,,工艺组,,60002974,
UserGroup,,工艺组,,60008787,
UserGroup,,工艺组,,60004714,
UserGroup,,工艺组,,60000622,
UserGroup,,工艺组,,60009521,
UserGroup,,工艺组,,60004569,
UserGroup,,工艺组,,60009655,
UserGroup,,工艺组,,60004403,
UserGroup,,工艺组,,60000020,
UserGroup,,工艺组,,60003030,
UserGroup,,工艺组,,60010893,
UserGroup,,工艺组,,60007145,
UserGroup,,工艺组,,60000258,
UserGroup,,工艺组,,60000262,
UserGroup,,工艺组,,60012276,
UserGroup,,工艺组,,60007827,
UserGroup,,工艺组,,60008328,
UserGroup,,工艺组,,60004084,
UserGroup,,工艺组,,60000290,
UserGroup,,工艺组,,60001195,
UserGroup,,工艺组,,60011128,
UserGroup,,结构组,,60000048,
UserGroup,,结构组,,60000237,
UserGroup,,结构组,,60004885,
UserGroup,,结构组,,60011763,
UserGroup,,结构组,,60002559,
UserGroup,,结构组,,60010487,
UserGroup,,结构组,,60000103,
UserGroup,,结构组,,60008318,
UserGroup,,结构组,,60009525,
UserGroup,,结构组,,60006230,
UserGroup,,结构组,,60001039,
UserGroup,,结构组,,60002705,
UserGroup,,结构组,,60000153,
UserGroup,,结构组,,60008009,
UserGroup,,结构组,,60000360,
UserGroup,,结构组,,60007823,
UserGroup,,结构组,,60000232,
UserGroup,,结构组,,60000415,
UserGroup,,结构组,,60000470,
UserGroup,,结构组,,60006006,
UserGroup,,结构组,,60011662,
UserGroup,,结构组,,60012149,
UserGroup,,结构组,,60000089,
UserGroup,,结构组,,60000050,
UserGroup,,结构组,,60000181,
UserGroup,,结构组,,60009028,
UserGroup,,结构组,,60000042,
UserGroup,,结构组,,60000227,
UserGroup,,结构组,,60008817,
UserGroup,,结构组,,60005307,
UserGroup,,结构组,,60011148,
UserGroup,,结构组,,60008592,
UserGroup,,结构组,,60001904,
UserGroup,,结构组,,60002857,
UserGroup,,结构组,,60010505,
UserGroup,,结构组,,60010722,
UserGroup,,结构组,,60008807,
UserGroup,,结构组,,60009661,
